
Dorian   | Wei         | Male   | 20  | Tempter      | Employed
Blake    | Goude       | Male   | 56  | Emotional    | Unemployed
Chris    | Goude       | Female | 34  | Extra        | Employed
Blake    | Rosberg     | Male   | 24  | Skeptic      | Unemployed
Gabriel  | Verner      | Male   | 56  | Tempter      | Unemployed
Hunter   | Pagani      | Male   | 26  | Emotional    | Unemployed
Max      | Lablanc     | Male   | 35  | Skeptic      | Unemployed
Andy     | Rosberg     | Male   | 56  | Extra        | Employed
Lake     | Jeralds     | Female | 46  | Emotional    | Employed
Ray      | Babbit      | Male   | 32  | Mentor       | Employed
Alex     | Xin         | Female | 53  | Tempter      | Unemployed
West     | Quirk       | Male   | 49  | Skeptic      | Unemployed
Tatum    | Caffee      | Female | 60  | Logical      | Unemployed
Lou      | Dabkowski   | Male   | 48  | Skeptic      | Employed
Andy     | Quirk       | Male   | 24  | Logical      | Employed
Lou      | Taft        | Female | 70  | Extra        | Employed
West     | Najar       | Male   | 71  | Tempter      | Employed
Gabriel  | Najar       | Male   | 30  | Antagonist   | Unemployed
Lake     | Ivanoff     | Male   | 21  | Protagonist  | Employed
Alex     | Enoch       | Male   | 21  | Skeptic      | Employed
Tanner   | Verner      | Female | 58  | Mentor       | Employed
Tatum    | Lablanc     | Female | 39  | Extra        | Unemployed
Alex     | Yi          | Female | 38  | Mentor       | Employed
Sage     | Dabkowski   | Male   | 33  | Tempter      | Unemployed
Andy     | Ozuna       | Female | 42  | Antagonist   | Employed
Mason    | Abernathy   | Female | 51  | Skeptic      | Unemployed
Harley   | Najar       | Male   | 29  | Emotional    | Employed
Campbell | Quirk       | Female | 46  | Antagonist   | Unemployed
Tanner   | Rosberg     | Male   | 67  | Skeptic      | Unemployed
Frances  | Rosberg     | Female | 50  | Mentor       | Unemployed
Ray      | Dabkowski   | Female | 70  | Extra        | Unemployed
Max      | Dabkowski   | Male   | 26  | Protagonist  | Employed
Blake    | Enoch       | Female | 29  | Protagonist  | Employed
Max      | Dabkowski   | Female | 66  | Extra        | Unemployed
Andy     | Goude       | Female | 61  | Mentor       | Unemployed
Delta    | Wei         | Female | 32  | Mentor       | Employed
Alex     | Dabkowski   | Female | 40  | Skeptic      | Employed
Gabriel  | Yi          | Male   | 63  | Antagonist   | Employed
Lake     | Fernandez   | Male   | 33  | Protagonist  | Employed
Hunter   | Ivanoff     | Female | 36  | Skeptic      | Unemployed
Sydney   | Ivanoff     | Male   | 43  | Tempter      | Unemployed
Emery    | Hutch       | Female | 18  | Tempter      | Unemployed
Dorian   | Myrtle      | Male   | 60  | Protagonist  | Unemployed
Lou      | Abernathy   | Male   | 50  | Sidekick     | Unemployed
Max      | Ivanoff     | Female | 20  | Mentor       | Employed
Chris    | Dabkowski   | Male   | 19  | Protagonist  | Unemployed
Dorian   | Xin         | Male   | 33  | Sidekick     | Unemployed
Sydney   | Szymkowiak  | Female | 47  | Mentor       | Unemployed
Lake     | Xin         | Male   | 67  | Antagonist   | Unemployed
Jesse    | Pagani      | Male   | 38  | Sidekick     | Unemployed
Eli      | Verner      | Male   | 72  | Antagonist   | Unemployed
Jesse    | Ivanoff     | Female | 44  | Protagonist  | Unemployed
Chris    | Goude       | Female | 26  | Tempter      | Employed
Ray      | Jeralds     | Female | 55  | Skeptic      | Employed
Emery    | Yi          | Female | 23  | Mentor       | Employed
Max      | Ivanoff     | Male   | 51  | Protagonist  | Employed
Lou      | Enoch       | Female | 71  | Extra        | Employed
Reese    | Yi          | Female | 54  | Extra        | Unemployed
Harley   | Yi          | Male   | 32  | Tempter      | Unemployed
Dorian   | Xin         | Female | 18  | Antagonist   | Employed
Sage     | Myrtle      | Male   | 33  | Antagonist   | Unemployed
Hunter   | Enoch       | Female | 55  | Protagonist  | Unemployed
Phoenix  | Fernandez   | Female | 66  | Emotional    | Unemployed
West     | Dabkowski   | Female | 65  | Extra        | Employed
Chris    | Caffee      | Female | 71  | Extra        | Unemployed
Chris    | Rosberg     | Female | 36  | Tempter      | Unemployed
Delta    | Myrtle      | Male   | 34  | Protagonist  | Unemployed
West     | Verner      | Female | 42  | Sidekick     | Unemployed
Ray      | Caffee      | Female | 30  | Skeptic      | Employed
Brook    | Yi          | Female | 53  | Logical      | Unemployed
Harley   | Caffee      | Female | 29  | Protagonist  | Employed
Dorian   | Wei         | Male   | 58  | Protagonist  | Employed
Reese    | Yi          | Female | 60  | Antagonist   | Unemployed
Sage     | Lablanc     | Female | 26  | Protagonist  | Unemployed
Winter   | Umbridge    | Male   | 74  | Skeptic      | Employed
Brook    | Abernathy   | Male   | 38  | Extra        | Employed
Hunter   | Szymkowiak  | Female | 56  | Tempter      | Unemployed
Max      | Quirk       | Male   | 64  | Sidekick     | Unemployed
Eli      | Ivanoff     | Female | 60  | Skeptic      | Unemployed
Tanner   | Verner      | Male   | 58  | Emotional    | Employed
Andy     | Pagani      | Female | 32  | Extra        | Employed
Emery    | Najar       | Male   | 56  | Skeptic      | Unemployed
Sydney   | Wei         | Female | 48  | Antagonist   | Employed
West     | Goude       | Male   | 30  | Mentor       | Employed
Lake     | Najar       | Female | 28  | Mentor       | Employed
Alex     | Fernandez   | Female | 19  | Protagonist  | Unemployed
Winter   | Xin         | Female | 37  | Protagonist  | Unemployed
Harley   | Taft        | Male   | 58  | Protagonist  | Unemployed
Jesse    | Myrtle      | Female | 59  | Protagonist  | Employed
Jean     | Myrtle      | Male   | 26  | Logical      | Employed
Brook    | Pagani      | Male   | 25  | Protagonist  | Unemployed
Hunter   | Lablanc     | Female | 47  | Mentor       | Unemployed
Brook    | Yi          | Male   | 63  | Protagonist  | Unemployed
Alex     | Lablanc     | Male   | 50  | Sidekick     | Employed
Kai      | Dabkowski   | Male   | 27  | Logical      | Employed
Gabriel  | Lablanc     | Female | 42  | Antagonist   | Employed
Gabriel  | Babbit      | Male   | 50  | Protagonist  | Unemployed
Jesse    | Fernandez   | Male   | 48  | Tempter      | Unemployed
Campbell | Xin         | Female | 25  | Mentor       | Employed
Harley   | Xin         | Female | 27  | Logical      | Employed
